T,X,Y
0,35.219472132796795,12
0,32.73802621557752,6
0,27.597216149770745,10
0,49.5923102565357,15
1,8.83531892739354,12
0,30.237752937526736,0
1,35.32596312039246,10
1,43.98440870599913,17
0,34.48594493518958,7
1,29.65988045082652,18
0,47.53140174918384,0
0,36.299134442793715,11
0,42.80287906190212,8
1,33.30965195841935,18
0,31.445648813083125,8
0,27.041829101351947,7
1,28.271575093926472,20
1,34.00249395087366,18
1,32.03994492225688,18
1,39.2117704453622,29
1,39.45272710569887,23
1,33.96521680998691,17
0,32.03294580201538,0
0,33.00565318880183,5
0,28.100500190881977,4
1,24.01530356940213,21
1,23.030968975546898,22
1,68.09778904870507,13
0,22.869315649188675,13
1,40.35536247765564,9
0,14.565448272883135,6
0,17.725892689683313,9
0,33.799514717936056,8
0,31.75542015669755,5
0,21.68280572061115,-1
1,34.287205599835566,18
1,27.40282205923283,5
1,21.963458906222694,19
1,6.810226744522801,21
0,35.873096116462634,2
1,39.50855447185418,21
0,26.27877444856038,4
0,22.210235032580524,7
1,30.679145604124972,14
0,17.50849980345688,0
1,24.87925313784251,12
1,47.307993931656185,22
1,20.43932564951315,8
1,20.644918932423924,16
0,31.23556015726129,6
1,23.88951506658556,6
0,10.966993896183595,11
0,28.79797831144024,4
1,15.57276214912934,16
0,37.94150903047645,5
0,33.04770366940653,7
0,25.725523099492342,8
0,36.75482656123681,8
1,31.28465679213177,14
0,25.705483525077433,15
0,37.65426526848445,7
1,25.490563691888088,10
0,35.68304220820384,10
0,22.968685664492945,-2
1,26.679854992008256,22
1,22.817274481548985,10
0,34.62445716598397,0
0,32.99505418266526,3
1,33.56316069715431,16
1,33.281561257533355,17
0,33.03459327544557,5
1,30.47232284359514,21
0,30.927865453122948,-5
1,31.59908249438885,18
0,23.238354816547314,8
0,25.28206083376866,5
1,48.30936504078281,23
1,31.195857579110623,6
0,46.3742334760902,4
0,23.817623952928926,9
0,13.363496858603268,6
0,34.72635832604901,5
1,24.795703099553606,25
1,27.1432819950043,13
0,24.720779453968255,-2
1,39.5152566061476,11
1,21.885581659778907,21
1,35.43695371652362,20
1,12.217399552080284,15
0,25.791688036610747,6
0,29.544982241406046,9
1,33.96285476570035,21
0,36.16307256254822,8
0,36.35116592616697,2
0,21.805178159315258,7
1,40.72172940974141,25
0,30.07954273615367,14
1,22.69391792936063,24
0,30.306058944546162,6
0,34.827788130409765,5
0,25.71593924572962,8
1,27.334427708854175,17
0,25.088567696235902,15
1,14.191032310375531,8
1,29.693275158066445,14
0,31.384470060566308,2
0,18.30712164948875,20
1,29.5391538386322,20
1,28.74617245004242,7
0,36.09451099665728,2
1,23.573538229503917,23
0,31.4968807834467,6
0,28.212315283198002,3
0,28.20894721856639,9
1,34.21185720371348,25
0,43.18173996824307,5
0,36.081536067841476,11
0,26.62438807078657,8
1,24.92419597777678,18
1,10.875892371823301,14
1,35.71362587576766,12
1,27.6288453866134,26
1,10.315283712071395,8
1,39.89266582986421,18
1,18.625868861744642,18
1,32.871740718400254,14
1,26.733815746195194,27
0,20.80228360088627,13
0,39.38075888190119,12
1,17.08191876350122,25
1,12.789958126749452,17
0,30.26950183157221,7
1,16.621310514256706,10
1,20.27608913308697,19
0,30.042051180175044,5
1,38.63520690931499,27
0,35.28698196754522,1
1,20.33823340837118,12
0,16.265831232277165,17
1,27.029040390547856,24
1,25.540620711282816,18
1,20.758743919556114,13
1,20.82065834141519,20
0,19.89525643148547,7
0,21.366830535080943,0
1,27.907653939618886,19
1,32.89358922806254,11
1,35.726241682989915,16
1,30.048724537602975,22
0,33.82125813546838,7
1,14.92809214086585,13
1,17.17607488833382,14
1,32.313462589747715,6
1,12.4460313580949,12
1,26.091916034896283,17
1,28.431418927508183,17
0,7.741502388679816,9
0,31.905448841263485,10
1,40.51712524930748,25
0,26.846709797378455,11
0,13.715326400832467,7
0,16.354451851888328,7
1,32.079200025043114,9
0,38.8118736215186,7
0,38.534350884505926,-6
0,28.08899976639402,8
0,20.18082241680286,3
1,27.933348240730492,17
0,24.52049175481617,10
1,33.28219214161784,19
0,28.153190700855774,7
1,33.593995838477234,19
1,29.764186379793685,20
0,36.89707705671227,5
1,8.61654107914384,22
0,16.315190842922014,9
1,16.56242437557147,21
0,33.565289527793325,6
1,28.215452296928976,19
1,11.967569736192257,11
1,31.147314979919724,17
1,54.070147996115764,13
1,28.415382196176378,20
0,23.682150146767924,11
0,21.253724599898504,3
0,35.87020581034339,12
1,31.20822338785657,12
1,45.40665845387005,23
1,42.14263383238308,12
1,41.086458195586175,15
0,23.681440148940645,3
0,25.303051744657886,1
0,47.099703832620555,13
0,28.995455015385968,0
1,33.76788196114454,13
0,23.222328326399612,3
1,38.54393796257732,11
1,40.39806910897114,0
0,22.601140596716196,12
0,26.710071652717243,3
0,20.82075666295104,9
0,21.444864496885344,5
0,16.991468788906946,14
0,16.47562892504621,1
1,47.06471944730259,16
0,13.16608854958012,9
0,41.55687072377679,6
1,21.454733505047685,23
1,39.080869685274166,16
0,43.93614356978375,9
0,40.12472718341782,12
1,39.830567317654825,14
0,12.772600548191935,14
0,35.395197598605534,6
1,30.62087414138537,12
1,24.432804361624406,15
1,29.840105907259957,13
0,7.784622464281,15
0,11.226288063645338,9
0,34.64263350296155,3
1,26.225544386638603,16
1,22.091697618595962,18
1,28.29274088094385,21
1,47.53814366542419,3
1,20.52268299484324,17
0,26.530483812926214,5
1,31.538721815366053,15
1,37.72254032842548,15
0,38.032084330307754,7
0,37.6101761319262,4
0,19.096732905477957,19
0,31.968694444246324,8
0,8.932216422854179,5
0,9.301047541901116,11
0,28.810886849812,5
1,21.553018859391106,23
0,36.37098342623314,5
0,31.560506511647834,3
0,36.706997167843916,12
1,28.974018268368038,19
0,27.648203225103487,3
1,10.823419207102273,16
0,22.50957121674187,13
1,32.60532708653833,13
1,26.895763898063915,25
0,31.642680129216213,7
1,39.0047567418949,15
1,14.246729653617772,13
0,12.72547408153073,11
0,27.947499304759184,14
0,30.697371303078032,3
1,23.97622039404233,22
1,28.23665586072308,17
0,31.468870102782482,4
0,20.37364591019037,0
0,35.54106588530948,9
0,33.44514840100301,14
0,14.908111105400959,7
1,35.71497657836065,19
1,24.577817021972336,17
0,40.88018274172788,3
0,22.680119462571234,-3
1,24.39439730915454,18
1,19.759167505233005,11
1,21.10176242938718,9
1,33.52346654800634,16
1,30.95912331083852,13
0,34.56980605007569,6
1,13.913005641018646,19
1,35.65345281218333,18
1,27.04785886757183,19
1,14.974912458271444,13
1,12.321459676889917,10
0,32.92429471224691,-3
0,28.47206998004611,10
0,35.374939362253976,8
0,38.04805654463706,20
0,25.699358485137065,7
1,24.690540924902027,19
1,34.30642198991248,12
0,20.115065311554304,4
1,53.16204356985844,10
0,17.914513363804325,4
0,36.014475023993306,0
1,33.82148345154269,10
1,31.46220648174074,12
0,37.09326386680728,4
0,26.91055046021933,13
0,23.35344531369443,4
1,21.06740195939962,17
0,27.022191722626793,8
0,32.15390867134719,3
0,30.5567293752735,9
1,20.525637703991134,13
0,24.03712119608976,9
0,25.438016159638178,13
0,17.847188557636557,2
1,33.97515717562128,20
1,10.938090426475288,22
1,31.473000567783206,17
1,38.05528972273802,28
0,15.267313376617649,10
1,30.795846201129596,10
1,19.867915232758996,19
0,36.36573046707045,-1
1,33.85434260102643,-3
0,28.42252509326702,9
1,23.72986257984476,14
0,38.35468704639283,0
0,31.015624719052084,4
1,41.96409775112242,11
0,18.346900002857648,11
1,30.09886442866463,14
1,41.83807654877949,9
1,11.794414914832497,8
0,27.534427098266914,10
0,18.197765728015376,14
0,16.975660743678276,8
0,33.31112209018332,4
0,44.13024565392794,14
1,20.12535644766327,18
1,46.310003089186196,18
1,24.49228970067426,13
0,33.29482460010029,8
0,39.732763697789196,10
1,25.842104232626063,22
0,51.71628880078347,0
1,24.48778511181708,18
0,51.543144577398714,4
0,21.263432323848644,7
1,18.088496232779498,11
1,49.54377926277961,10
1,33.9015741839809,20
0,39.28042501937743,16
0,35.16212274520061,11
1,35.674733255728555,20
1,16.662826432422623,11
1,30.498787161950823,18
1,14.035213928035818,22
0,15.028485483937233,8
0,50.8057437495648,4
0,28.39924907416693,3
0,21.521279563249593,12
0,26.149169341942667,15
1,28.126472960674164,12
0,51.353293129123315,11
1,32.10804268689239,7
1,34.03807165949933,14
0,22.19524481508269,11
1,39.16539173692803,13
0,30.143056998458917,8
1,30.856072819657584,10
1,41.03865238583052,14
1,24.09279472397341,15
1,45.130189876652985,15
0,27.15032644064549,9
1,37.474466701632096,21
0,18.982757887076552,6
1,28.233837574014736,19
0,25.24952146438367,9
0,31.22383992168278,3
1,30.077177668191652,20
1,25.76570533160707,13
0,25.88737507740797,8
0,25.338423265778484,12
1,19.71187725550263,14
0,38.38167684450944,1
0,22.63307806988239,9
0,30.70864316514786,11
1,35.652733865978206,22
0,28.813900333760486,10
1,26.004852058404705,7
0,29.4543633715199,5
1,18.381425556750237,18
1,3.332231966589635,25
0,38.45865695633775,10
0,24.858832970957096,2
0,44.74917649698009,13
0,22.905751232708432,11
1,35.263827420175204,19
0,39.9730480021593,-2
0,31.4415453930555,6
0,36.030675843320864,7
1,23.572884043192282,18
1,27.661258058690297,18
0,30.027251563307225,3
1,17.334643699624763,14
1,30.700534570720954,16
0,27.310503399971637,0
0,26.583273727359654,16
1,49.06844551907302,20
1,19.46843553289444,19
1,41.1017560477347,13
0,14.507555187854075,6
0,29.752785818829963,9
0,36.82782140580376,10
0,23.295565186164826,3
1,26.57178119956148,15
0,35.1018235339909,0
1,27.01404126859463,9
0,8.40053171171748,5
0,14.384024724287542,14
1,40.46617093812837,19
1,39.232525841725,22
0,25.10338823995695,11
1,39.74805630729257,12
0,32.35562018235301,7
1,12.225212389680717,10
1,27.349698136748966,6
1,14.786205664238302,16
1,16.448372795965042,3
0,22.474403056106176,6
0,24.194917277760734,4
0,24.36838197941573,14
1,22.736746213714298,15
0,33.323143348033916,9
1,12.939989349893224,20
1,42.566859991985154,16
0,33.43782708123377,5
0,35.80482487755117,0
1,29.939728198360967,20
1,29.449029904317268,18
0,26.813809588985087,5
0,33.70866249942367,12
0,17.12620058520544,-2
0,15.933527733679558,14
0,26.50582538480887,5
1,25.924342474255173,12
1,34.18954082522721,8
1,22.580907397129316,17
1,39.58271753806303,14
0,23.739802375382475,2
1,31.88695238310851,14
0,31.58824598233404,16
0,39.01946685309827,1
0,30.299980899523764,8
1,23.956903607941847,12
0,42.341445253400586,8
1,15.096513221454932,5
0,26.99850240641786,11
1,24.88392528072506,21
1,29.53516092723858,18
1,27.255164915499392,15
1,19.636537298176854,26
0,32.67793139016562,3
1,29.13730774724594,18
0,39.13906873249873,2
0,28.028412360364303,6
1,28.56164049789189,8
0,20.67252321560933,6
1,38.98213325752912,12
0,28.362342621538403,14
0,5.583726117625755,4
1,15.972988807440013,11
0,33.64754533754901,12
1,28.97924542906755,15
0,19.35760104379491,4
1,28.334869873299443,5
1,35.00590347511519,16
0,33.35086017724891,10
0,10.395607130236613,3
0,35.40562109511273,8
0,32.33241609933841,-5
0,25.013221763917436,3
1,26.79394401189271,21
1,24.404198590623732,17
0,40.009431615971195,14
1,10.315336655053716,8
0,30.489327860503746,8
1,48.075076631284425,11
1,31.37279090790647,28
1,40.09968724255492,19
1,9.63298007664567,20
0,27.851491525867342,15
1,23.842559061716003,18
1,29.859436560877352,8
0,20.90570527782091,0
1,37.28707695332119,16
1,39.72377826079193,18
1,30.214076543116963,19
0,43.45089517020263,14
0,32.24747000801381,1
1,20.437468625240264,18
0,24.46000384958361,7
1,42.2958130924296,19
0,56.08097132626924,2
1,40.94343183831515,18
1,42.91456618319186,17
0,47.1860032071564,9
0,22.858088854422753,13
1,15.89487525734129,19
0,30.87581593073834,12
0,32.22097747555759,10
1,34.476485752050586,20
1,24.018862829985917,18
0,6.50488877067658,9
1,33.38371490222199,23
0,34.88630626195581,6
1,25.913838440236752,22
1,19.065919481298373,7
1,19.09872291448214,10
1,14.311898101054844,16
0,25.709271524173452,16
1,22.83565068633992,17
1,28.216580296823096,13
0,16.49683855205412,5
0,22.58326466951264,11
0,33.470154736688905,4
1,27.721296168493907,24
1,40.74968302170075,16
0,24.0540046370226,15
1,29.85296671706348,21
1,22.826807881077205,15
1,32.48618493111783,21
1,19.819111629180583,11
1,31.27562945041583,21
0,21.00176498964398,10
0,36.33108545639281,13
1,33.12794523388274,13
0,34.08462748367913,10
0,33.48123680094757,9
1,29.861108373296446,26
1,25.400089134913664,17
1,25.14493127014285,17
1,22.868956308258817,9
0,45.04384680092089,5
0,10.671809054081944,9
1,40.1699416962199,17
0,16.962463915361397,10
0,31.91694125019466,12
1,27.20486185617274,20
0,-3.2091299373547706,12
0,21.612271340710056,6
1,48.58412555805231,15
0,33.15037385773849,5
0,30.855575880677712,2
1,27.020819222252033,10
0,28.44025131708337,10
0,38.091234404378866,4
0,29.86777355807535,18
0,32.74152821603079,19
0,23.18658914339586,2
1,18.057789319204335,17
1,29.34087206689632,17
1,31.739889871837228,18
1,32.76063935655158,17
1,26.620127953125337,20
0,18.838071666107957,3
1,52.82040522744746,22
1,31.767156604487493,13
1,32.89932339759371,15
1,36.18750166743929,11
0,11.150040298471634,3
1,29.772700543829856,7
0,40.913334857275714,5
0,36.16590000677933,5
1,15.828940560374916,11
1,29.471098119337064,12
0,45.78671264787738,13
0,32.3654675439073,9
0,32.56727402610105,12
1,26.27361605588378,17
0,28.074229131148815,9
1,27.180651120677084,5
0,44.40229062309252,-6
0,28.156713067615097,8
0,19.451010728718042,14
1,31.001397929247144,10
0,23.713597010295707,11
0,37.63838356655268,-5
0,15.990922261250432,-3
0,23.47463589096934,8
1,27.656077295681968,20
0,26.57099010104552,-2
1,34.06529290099673,13
1,26.574596618606936,18
1,30.740789925993283,11
0,30.23735213064282,11
0,35.483785080897576,9
1,30.474072440951158,18
1,38.50317601705854,19
0,40.3622089922238,10
0,25.56592886484522,16
1,32.73496654512408,12
0,33.34743892378936,4
0,21.07735550424576,11
1,44.453361349281536,19
1,28.43701053363644,17
1,27.492516686147855,19
0,31.127076688564294,2
1,45.26632475749078,13
0,29.78966254135914,-1
0,18.91327848608148,13
1,33.054460022498965,20
0,29.095696931790602,5
0,57.188200505523284,10
0,25.088701744554015,21
0,20.94070552847738,21
0,35.95237957764171,-1
0,28.668194311150444,-4
0,37.980733504592436,11
1,20.580902064293866,18
0,42.453639068059346,3
0,12.837800040536223,4
1,16.313479139073003,17
0,48.01419357306902,11
0,31.00340017855662,10
0,35.79974477540665,2
0,22.277864217215786,12
1,24.13437717725852,21
1,31.30441751847188,14
0,32.76638115691395,5
0,37.421427575030364,0
1,39.99019070224399,21
1,18.039431872110846,18
1,37.419976091346484,19
0,22.74981241968865,6
0,23.364456048680108,4
0,34.996613873362676,10
0,41.17551222023691,10
0,26.410726274168866,11
1,16.273653947560707,12
0,16.086730991055894,5
1,16.900580014692004,13
1,18.29898131167715,8
1,22.83026571327199,14
1,20.09251546574352,14
1,33.07195939503916,24
1,34.51591411638844,16
0,24.068364868021725,5
0,6.304868259454192,13
0,29.607392375953754,4
0,21.824324677173063,13
0,18.967004708566165,11
1,30.340881379913974,23
1,30.933722801012692,21
0,24.45148738597099,11
0,15.555642001197825,17
0,28.321808275292163,6
1,36.06841389057326,10
0,-0.5655356880594447,9
1,22.662833117390853,20
0,38.70458864057677,8
1,25.10672738002035,15
0,24.585205141183376,2
0,22.123592104364917,15
1,10.194800411201065,21
0,16.289743073174165,2
1,36.79692293121192,7
1,26.790276104140816,10
0,6.243855447078108,8
1,32.72386647077131,11
0,23.898713486624597,13
1,28.003318684646622,20
1,24.061481351342188,15
0,26.5173291953612,4
0,31.58710886151787,5
0,21.931084529940588,2
0,22.488610455518455,6
1,14.26898866517381,9
0,35.160894272495604,4
1,16.377932982062628,14
1,19.005705465219933,22
0,31.619183208743593,9
0,32.329551729272886,12
1,28.674657812827075,15
0,13.482080892710261,3
0,20.645308855784698,7
1,35.2681946468325,29
1,20.261885625802588,21
1,36.772764568077946,13
1,20.97980555584239,13
0,32.11074800530038,9
1,-2.075134558207818,18
1,19.353887814213397,20
0,21.406707093449594,7
1,20.991613541210214,17
0,38.926795090299485,0
0,17.149799534255514,9
0,30.755343116478013,5
1,38.29698720313061,16
0,31.480037815910848,7
0,30.410461336429773,3
0,29.30880165608135,13
0,32.798057179244736,5
1,57.19860730071376,18
0,16.30507697060578,11
1,19.685108644714454,11
0,26.30212610805546,10
1,23.709891761446137,20
1,23.24639435487495,14
1,35.46969482840821,10
0,19.089104416831454,4
0,32.354807547122725,10
0,32.38528826687504,7
0,31.272711227373918,0
1,13.415264291317742,17
0,27.559800166807747,2
0,11.074411959424115,3
0,35.65008408738598,-2
0,29.785194726061928,5
1,28.508739175119562,16
0,31.019583023255517,4
0,27.067152936062023,13
0,14.583172869899212,3
1,21.138923117693295,7
0,41.30287052066247,14
0,37.41274363634078,8
1,33.160012582382464,21
1,28.974216625469527,11
1,44.935623638034734,28
0,42.52120993125054,5
0,16.114517131110066,4
1,29.201765573968725,6
1,30.096091679062848,15
1,32.5353507885003,15
0,33.05457651414466,13
0,11.989779371163554,18
1,27.7209057996293,8
